"geo","time","pop","values_pp","share","offset","country"
"BE",2022-01-01,11680210,84.1535817292082,0.397141845070734,-0.176418396979238,"Belgium"
"BG",2024-01-01,6441421,110.721761464133,0.405407089017629,-0.143350422815932,"Bulgaria"
"CZ",2024-01-01,10905028,84.0381479226265,0.406489245351805,0.117232273352047,"Czechia"
"DK",2024-01-01,5976992,106.307196040077,0.3938791800411,0.0455087329068784,"Denmark"
"DE",2022-01-01,83177813,125.323857499856,0.47072403379476,-0.0492033459655413,"Germany"
"EL",2024-01-01,10374050,219.739546377344,0.461281309250574,0.0066292067287278,"Greece"
"ES",2020-01-01,47359424,129.236114552522,0.40449031323556,0.333420661417071,"Spain"
"HR",2024-01-01,3868159,129.345450154269,0.413907209718728,-0.356828149062228,"Croatia"
"IT",2015-01-01,60229605,167.634759392258,0.448388344883974,0.133794169136224,"Italy"
"CY",2023-01-01,957725,293.84704120102,0.477057402935166,-0.0107634758243923,"Cyprus"
"LV",2024-01-01,1869570,49.8539661269997,0.493329466357309,0,"Latvia"
"LT",2024-01-01,2888278,75.9422970203785,0.410395735083043,-0.0902092868649363,"Lithuania"
"HU",2024-01-01,9562065,106.264660305185,0.451219660563295,-0.318389385605207,"Hungary"
"MT",2024-01-01,568847,119.973517206676,0.405700325732899,0.149998046762005,"Malta"
"NL",2023-01-01,17877117,117.468605256653,0.41311846502102,0.249088411560223,"Netherlands"
"PL",2024-01-01,36559233,100.014837658784,0.436435163081511,0.248905834746661,"Poland"
"RO",2024-01-01,19055364,84.980925357995,0.35871603619569,0.0601629133934841,"Romania"
"SI",2024-01-01,2127400,99.6779141301814,0.397269414361238,-0.082503270715437,"Slovenia"
"SE",2020-01-01,10353442,130.722194371132,0.414082145850796,0.0234210170587697,"Sweden"
"NO",2024-01-01,5572272,172.930617592997,0.404443217883262,-0.109265377309409,"Norway"
"CH",2024-01-01,9006644,153.615669036726,0.384908536585366,0.0752858158081959,"Switzerland"
"ME",2024-01-01,623504,157.923210476048,0.406239403187521,-0.0407937476995046,"Montenegro"
"MK",2024-01-01,1824430,152.691713283466,0.425048072903603,-0.169154277099205,"North Macedonia"
"AL",2024-01-01,2377128,134.881309288478,0.472256971066543,-0.154636758236501,"Albania"
"RS",2024-01-01,6586476,137.072072806189,0.41765525982256,0.191637748161161,"Serbia"
"TR",2024-01-01,85518661,118.716058430386,0.426139885439343,-0.249756688514817,"Türkiye"
