"var","values_pp","percent_low","percent_high","saving_low","saving_high"
"Agriculture",360.628327502249,0.05,0.2,342.596911127136,288.502662001799
"Electricity.cooling",390.698987074416,0.45,0.95,214.884442890929,19.5349493537208
"Manufacturing",154.28574156683,0.3,0.5,108.000019096781,77.1428707834151
"Others",16.9570242014291,,,,
"Public.water.supply",248.068454804022,0.2,0.5,198.454763843217,124.034227402011
