Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,LT,Lithuania,2000,104.2,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2001,93.3,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2002,90.1,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2003,93.3,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2004,89.3,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2005,87.1,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2006,87.9,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2007,85.3,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2008,83.1,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2009,80.4,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2010,69.5,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2011,65.1,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2012,61.9,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2013,60.5,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2014,59.5,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2015,62.9,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2016,60.7,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2017,60.1,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2018,57.9,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2019,58.5,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2020,61.2,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2021,60,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2022,60,,,,,,WAT007 2000-2022
EU,LT,Lithuania,2023,53,,,,,,ESTAT env_wat_a
EU,LT,Lithuania,2000,,,,,11.9,,WAT007 2000-2022
EU,LT,Lithuania,2001,,,,,8.9,,WAT007 2000-2022
EU,LT,Lithuania,2002,,,,,9.4,,WAT007 2000-2022
EU,LT,Lithuania,2003,,,,,9.6,,WAT007 2000-2022
EU,LT,Lithuania,2004,,,,,10.3,,WAT007 2000-2022
EU,LT,Lithuania,2005,,,,,10,,WAT007 2000-2022
EU,LT,Lithuania,2006,,,,,10.4,,WAT007 2000-2022
EU,LT,Lithuania,2007,,,,,10.8,,WAT007 2000-2022
EU,LT,Lithuania,2008,,,,,11,,WAT007 2000-2022
