Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,DK,Denmark,2000,435.6,,,,,,WAT007 2000-2022
EU,DK,Denmark,2001,439.8,,,,,,WAT007 2000-2022
EU,DK,Denmark,2002,409.4,,,,,,WAT007 2000-2022
EU,DK,Denmark,2003,412.6,,,,,,WAT007 2000-2022
EU,DK,Denmark,2004,439.3,,,,,,WAT007 2000-2022
EU,DK,Denmark,2005,418.5,,,,,,WAT007 2000-2022
EU,DK,Denmark,2006,477.3,,,,,,WAT007 2000-2022
EU,DK,Denmark,2007,357.8,,,,,,WAT007 2000-2022
EU,DK,Denmark,2008,488.8,,,,,,WAT007 2000-2022
EU,DK,Denmark,2009,476.1,,,,,,WAT007 2000-2022
EU,DK,Denmark,2010,498.8,,,,,,WAT007 2000-2022
EU,DK,Denmark,2011,524.4,,,,,,WAT007 2000-2022
EU,DK,Denmark,2012,434.8,,,,,,WAT007 2000-2022
EU,DK,Denmark,2013,582.9,,,,,,WAT007 2000-2022
EU,DK,Denmark,2014,584.6,,,,,,WAT007 2000-2022
EU,DK,Denmark,2015,519.6,,,,,,WAT007 2000-2022
EU,DK,Denmark,2016,464.2,,,,,,WAT007 2000-2022
EU,DK,Denmark,2017,479.2,,,,,,WAT007 2000-2022
EU,DK,Denmark,2018,664.4,,,,,,WAT007 2000-2022
EU,DK,Denmark,2019,512.4,,,,,,WAT007 2000-2022
EU,DK,Denmark,2020,526.2,,,,,,WAT007 2000-2022
EU,DK,Denmark,2021,534.5,,,,,,WAT007 2000-2022
EU,DK,Denmark,2022,557.4,,,,,,WAT007 2000-2022
EU,DK,Denmark,2023,551.4,,,,,,ESTAT env_wat_a
EU,DK,Denmark,2000,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2001,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2002,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2003,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2004,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2005,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2006,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2007,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2008,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2009,,,,,0,,WAT007 2000-2022
EU,DK,Denmark,2010,,,,,8.2,,WAT007 2000-2022
EU,DK,Denmark,2011,,,,,8.3,,WAT007 2000-2022
EU,DK,Denmark,2012,,,,,9.4,,WAT007 2000-2022
EU,DK,Denmark,2013,,,,,8.5,,WAT007 2000-2022
EU,DK,Denmark,2014,,,,,7.1,,WAT007 2000-2022
EU,DK,Denmark,2015,,,,,8.4,,WAT007 2000-2022
EU,DK,Denmark,2016,,,,,7.9,,WAT007 2000-2022
EU,DK,Denmark,2017,,,,,7.4,,WAT007 2000-2022
EU,DK,Denmark,2018,,,,,8.8,,WAT007 2000-2022
EU,DK,Denmark,2019,,,,,9.3,,WAT007 2000-2022
EU,DK,Denmark,2020,,,,,14.2,,WAT007 2000-2022
EU,DK,Denmark,2021,,,,,11.2,,WAT007 2000-2022
EU,DK,Denmark,2022,,,,,8.3,,WAT007 2000-2022
EU,DK,Denmark,2023,,,,,11.3,,ESTAT env_wat_a
EU,DK,Denmark,2000,,,,66.8,,,WAT007 2000-2022
EU,DK,Denmark,2001,,,,54.3,,,WAT007 2000-2022
EU,DK,Denmark,2002,,,,57.7,,,WAT007 2000-2022
EU,DK,Denmark,2003,,,,42.4,,,WAT007 2000-2022
EU,DK,Denmark,2004,,,,42.6,,,WAT007 2000-2022
EU,DK,Denmark,2005,,,,42.9,,,WAT007 2000-2022
EU,DK,Denmark,2006,,,,32.2,,,WAT007 2000-2022
EU,DK,Denmark,2007,,,,40.4,,,WAT007 2000-2022
EU,DK,Denmark,2008,,,,35.9,,,WAT007 2000-2022
EU,DK,Denmark,2009,,,,33.1,,,WAT007 2000-2022
EU,DK,Denmark,2010,,,,23.5,,,WAT007 2000-2022
EU,DK,Denmark,2011,,,,23.9,,,WAT007 2000-2022
EU,DK,Denmark,2012,,,,23.7,,,WAT007 2000-2022
EU,DK,Denmark,2013,,,,21.6,,,WAT007 2000-2022
EU,DK,Denmark,2014,,,,23.6,,,WAT007 2000-2022
EU,DK,Denmark,2015,,,,22.9,,,WAT007 2000-2022
EU,DK,Denmark,2016,,,,22.6,,,WAT007 2000-2022
EU,DK,Denmark,2017,,,,20.4,,,WAT007 2000-2022
EU,DK,Denmark,2018,,,,26.8,,,WAT007 2000-2022
EU,DK,Denmark,2019,,,,26.7,,,WAT007 2000-2022
EU,DK,Denmark,2020,,,,26,,,WAT007 2000-2022
EU,DK,Denmark,2021,,,,21.9,,,WAT007 2000-2022
EU,DK,Denmark,2022,,,,21.7,,,WAT007 2000-2022
EU,DK,Denmark,2023,,,,18.7,,,ESTAT env_wat_a
EU,DK,Denmark,2000,,,4.3,,,,WAT007 2000-2022
EU,DK,Denmark,2001,,,4.2,,,,WAT007 2000-2022
EU,DK,Denmark,2002,,,4.2,,,,WAT007 2000-2022
EU,DK,Denmark,2003,,,4.9,,,,WAT007 2000-2022
