Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,MT,Malta,2000,17.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2001,20.1,,,,,,WAT007 2000-2022
EU,MT,Malta,2002,19,,,,,,WAT007 2000-2022
EU,MT,Malta,2003,16.7,,,,,,WAT007 2000-2022
EU,MT,Malta,2004,16.8,,,,,,WAT007 2000-2022
EU,MT,Malta,2005,19.1,,,,,,WAT007 2000-2022
EU,MT,Malta,2006,20.3,,,,,,WAT007 2000-2022
EU,MT,Malta,2007,23.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2008,22.3,,,,,,WAT007 2000-2022
EU,MT,Malta,2009,19.5,,,,,,WAT007 2000-2022
EU,MT,Malta,2010,28.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2011,26.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2012,24.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2013,30.2,,,,,,WAT007 2000-2022
EU,MT,Malta,2014,28.9,,,,,,WAT007 2000-2022
EU,MT,Malta,2015,26.5,,,,,,WAT007 2000-2022
EU,MT,Malta,2016,28.5,,,,,,WAT007 2000-2022
EU,MT,Malta,2017,27.8,,,,,,WAT007 2000-2022
EU,MT,Malta,2018,25,,,,,,WAT007 2000-2022
EU,MT,Malta,2019,22.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2020,23,,,,,,WAT007 2000-2022
EU,MT,Malta,2021,21.7,,,,,,WAT007 2000-2022
EU,MT,Malta,2022,21.6,,,,,,WAT007 2000-2022
EU,MT,Malta,2023,19.7,,,,,,ESTAT env_wat_a
EU,MT,Malta,2000,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2001,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2002,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2003,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2004,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2005,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2006,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2007,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2008,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2009,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2010,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2011,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2012,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2013,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2014,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2015,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2016,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2017,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2018,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2019,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2020,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2021,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2022,,,,,0,,WAT007 2000-2022
EU,MT,Malta,2023,,,,,0,,ESTAT env_wat_a
EU,MT,Malta,2000,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2001,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2002,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2003,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2004,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2005,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2006,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2007,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2008,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2009,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2010,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2011,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2012,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2013,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2014,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2015,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2016,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2017,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2018,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2019,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2020,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2021,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2022,,,,1,,,WAT007 2000-2022
EU,MT,Malta,2023,,,,1,,,ESTAT env_wat_a
EU,MT,Malta,2000,,,2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2001,,,2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2002,,,2.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2003,,,2.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2004,,,2.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2005,,,2.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,MT,Malta,2006,,,2.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
