Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

Non-EU,RS,Serbia,2000,858.8,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2001,824.8,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2002,778.9,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2003,824.9,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2004,754.3,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2005,730.9,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2006,751.2,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2007,781.3,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2008,753.6,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2009,571.7,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2010,610.4,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2011,578.7,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2012,640.7,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2013,649.2,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2014,645.5,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2015,736.2,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2016,662.3,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2017,689,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2018,740.3,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2019,733.5,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2020,687.8,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2021,653.4,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2022,705,,,,,,WAT007 2000-2022
Non-EU,RS,Serbia,2023,437.1,,,,,,ESTAT env_wat_a
Non-EU,RS,Serbia,2000,,,,,12.7,,WAT007 2000-2022
Non-EU,RS,Serbia,2001,,,,,16.5,,WAT007 2000-2022
Non-EU,RS,Serbia,2002,,,,,13.3,,WAT007 2000-2022
Non-EU,RS,Serbia,2003,,,,,7,,WAT007 2000-2022
Non-EU,RS,Serbia,2004,,,,,9.6,,WAT007 2000-2022
Non-EU,RS,Serbia,2005,,,,,7,,WAT007 2000-2022
Non-EU,RS,Serbia,2006,,,,,6.9,,WAT007 2000-2022
Non-EU,RS,Serbia,2007,,,,,8,,WAT007 2000-2022
Non-EU,RS,Serbia,2008,,,,,5.7,,WAT007 2000-2022
Non-EU,RS,Serbia,2009,,,,,8,,WAT007 2000-2022
Non-EU,RS,Serbia,2010,,,,,8.7,,WAT007 2000-2022
Non-EU,RS,Serbia,2011,,,,,9.3,,WAT007 2000-2022
Non-EU,RS,Serbia,2012,,,,,9.5,,WAT007 2000-2022
Non-EU,RS,Serbia,2013,,,,,11.1,,WAT007 2000-2022
Non-EU,RS,Serbia,2014,,,,,8.7,,WAT007 2000-2022
Non-EU,RS,Serbia,2015,,,,,8.2,,WAT007 2000-2022
Non-EU,RS,Serbia,2016,,,,,7.6,,WAT007 2000-2022
Non-EU,RS,Serbia,2017,,,,,13.8,,WAT007 2000-2022
Non-EU,RS,Serbia,2018,,,,,12.2,,WAT007 2000-2022
Non-EU,RS,Serbia,2019,,,,,13.5,,WAT007 2000-2022
Non-EU,RS,Serbia,2020,,,,,16.4,,WAT007 2000-2022
Non-EU,RS,Serbia,2021,,,,,18.1,,WAT007 2000-2022
Non-EU,RS,Serbia,2022,,,,,26.3,,WAT007 2000-2022
Non-EU,RS,Serbia,2023,,,,,17.2,,ESTAT env_wat_a
Non-EU,RS,Serbia,2000,,,,122.5,,,WAT007 2000-2022
Non-EU,RS,Serbia,2001,,,,122,,,WAT007 2000-2022
Non-EU,RS,Serbia,2002,,,,130.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2003,,,,130,,,WAT007 2000-2022
Non-EU,RS,Serbia,2004,,,,150.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2005,,,,153,,,WAT007 2000-2022
Non-EU,RS,Serbia,2006,,,,133.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2007,,,,142.8,,,WAT007 2000-2022
Non-EU,RS,Serbia,2008,,,,136.8,,,WAT007 2000-2022
Non-EU,RS,Serbia,2009,,,,119.4,,,WAT007 2000-2022
Non-EU,RS,Serbia,2010,,,,117.5,,,WAT007 2000-2022
Non-EU,RS,Serbia,2011,,,,130.1,,,WAT007 2000-2022
Non-EU,RS,Serbia,2012,,,,111.3,,,WAT007 2000-2022
Non-EU,RS,Serbia,2013,,,,100.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2014,,,,94.1,,,WAT007 2000-2022
Non-EU,RS,Serbia,2015,,,,107.4,,,WAT007 2000-2022
Non-EU,RS,Serbia,2016,,,,105.3,,,WAT007 2000-2022
Non-EU,RS,Serbia,2017,,,,127.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2018,,,,74.9,,,WAT007 2000-2022
Non-EU,RS,Serbia,2019,,,,71.7,,,WAT007 2000-2022
Non-EU,RS,Serbia,2020,,,,67.9,,,WAT007 2000-2022
