Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,ES,Spain,2000,23725.3,,,,,,WAT007 2000-2022
EU,ES,Spain,2001,23384.4,,,,,,WAT007 2000-2022
EU,ES,Spain,2002,23084.4,,,,,,WAT007 2000-2022
EU,ES,Spain,2003,23308.3,,,,,,WAT007 2000-2022
EU,ES,Spain,2004,22789.8,,,,,,WAT007 2000-2022
EU,ES,Spain,2005,24509.6,,,,,,WAT007 2000-2022
EU,ES,Spain,2006,23238.6,,,,,,WAT007 2000-2022
EU,ES,Spain,2007,23215,,,,,,WAT007 2000-2022
EU,ES,Spain,2008,22792,,,,,,WAT007 2000-2022
EU,ES,Spain,2009,24000,,,,,,WAT007 2000-2022
EU,ES,Spain,2010,23388,,,,,,WAT007 2000-2022
EU,ES,Spain,2011,23724.6,,,,,,WAT007 2000-2022
EU,ES,Spain,2012,23088.8,,,,,,WAT007 2000-2022
EU,ES,Spain,2013,21246.5,,,,,,WAT007 2000-2022
EU,ES,Spain,2014,21978.8,,,,,,WAT007 2000-2022
EU,ES,Spain,2015,20722,,,,,,WAT007 2000-2022
EU,ES,Spain,2016,20365,,,,,,WAT007 2000-2022
EU,ES,Spain,2017,19809,,,,,,WAT007 2000-2022
EU,ES,Spain,2018,19254,,,,,,WAT007 2000-2022
EU,ES,Spain,2019,19090,,,,,,WAT007 2000-2022
EU,ES,Spain,2020,18960,,,,,,WAT007 2000-2022
EU,ES,Spain,2021,19098,,,,,,WAT007 2000-2022
EU,ES,Spain,2022,19622,,,,,,WAT007 2000-2022
EU,ES,Spain,2023,20796.5,,,,,,EEA estimate based on ESTAT Utilised Agricultural Area 
EU,ES,Spain,2000,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2001,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2002,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2003,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2004,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2005,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2006,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2007,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2008,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2009,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2010,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2011,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2012,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2013,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2014,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2015,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2016,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2017,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2018,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2019,,,,,0,,WAT007 2000-2022
EU,ES,Spain,2000,,,,1306.5,,,WAT007 2000-2022
EU,ES,Spain,2001,,,,1219,,,WAT007 2000-2022
EU,ES,Spain,2002,,,,1292.4,,,WAT007 2000-2022
EU,ES,Spain,2003,,,,1208.3,,,WAT007 2000-2022
EU,ES,Spain,2004,,,,1115,,,WAT007 2000-2022
EU,ES,Spain,2005,,,,897.7,,,WAT007 2000-2022
EU,ES,Spain,2006,,,,791,,,WAT007 2000-2022
EU,ES,Spain,2007,,,,645,,,WAT007 2000-2022
EU,ES,Spain,2008,,,,503,,,WAT007 2000-2022
EU,ES,Spain,2009,,,,507,,,WAT007 2000-2022
EU,ES,Spain,2010,,,,514,,,WAT007 2000-2022
EU,ES,Spain,2011,,,,498.7,,,WAT007 2000-2022
EU,ES,Spain,2012,,,,475.7,,,WAT007 2000-2022
EU,ES,Spain,2013,,,,472.6,,,WAT007 2000-2022
EU,ES,Spain,2014,,,,469.6,,,WAT007 2000-2022
EU,ES,Spain,2015,,,,437.2,,,WAT007 2000-2022
EU,ES,Spain,2016,,,,385.9,,,WAT007 2000-2022
EU,ES,Spain,2017,,,,374,,,WAT007 2000-2022
EU,ES,Spain,2018,,,,362.1,,,WAT007 2000-2022
EU,ES,Spain,2019,,,,356.1,,,WAT007 2000-2022
EU,ES,Spain,2020,,,,354.1,,,WAT007 2000-2022
EU,ES,Spain,2021,,,,686.2,,,WAT007 2000-2022
EU,ES,Spain,2022,,,,636.7,,,WAT007 2000-2022
EU,ES,Spain,2023,,,,593.2,,,EEA estimate based on ESTAT DEF_DISS_DS-056121
EU,ES,Spain,2000,,,5929.3,,,,WAT007 2000-2022
EU,ES,Spain,2001,,,6029.8,,,,WAT007 2000-2022
EU,ES,Spain,2002,,,6168,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2003,,,6286.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2004,,,6257.2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2005,,,6651.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2006,,,6526.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2007,,,5851.4,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2008,,,6231.4,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2009,,,6101.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2010,,,6301.3,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2011,,,6151.2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2012,,,6101.2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2013,,,5951.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2014,,,5871.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2015,,,5751.2,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2016,,,5621.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2017,,,5321.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2018,,,5451.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2019,,,5351.1,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2020,,,5501,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf;WAT007 2000-2022
EU,ES,Spain,2021,,,4682.7,,,,WAT007 2000-2022
EU,ES,Spain,2022,,,5727,,,,WAT007 2000-2022
EU,ES,Spain,2023,,,5802.4,,,,EEA estimate based on ESTAT Ind_peh and Ind_pehcf
EU,ES,Spain,2000,,,,,,5475.8,WAT007 2000-2022
EU,ES,Spain,2001,,,,,,5383.1,WAT007 2000-2022
EU,ES,Spain,2002,,,,,,5299,WAT007 2000-2022
EU,ES,Spain,2003,,,,,,5719.7,WAT007 2000-2022
EU,ES,Spain,2004,,,,,,5824.2,WAT007 2000-2022
EU,ES,Spain,2005,,,,,,5890,WAT007 2000-2022
EU,ES,Spain,2006,,,,,,5701,WAT007 2000-2022
EU,ES,Spain,2007,,,,,,5790,WAT007 2000-2022
EU,ES,Spain,2008,,,,,,5765,WAT007 2000-2022
EU,ES,Spain,2009,,,,,,5450,WAT007 2000-2022
EU,ES,Spain,2010,,,,,,5050,WAT007 2000-2022
EU,ES,Spain,2011,,,,,,4644.1,WAT007 2000-2022
EU,ES,Spain,2012,,,,,,4598.6,WAT007 2000-2022
EU,ES,Spain,2013,,,,,,4628.8,WAT007 2000-2022
EU,ES,Spain,2014,,,,,,4551.8,WAT007 2000-2022
EU,ES,Spain,2015,,,,,,4735,WAT007 2000-2022
EU,ES,Spain,2016,,,,,,4890,WAT007 2000-2022
EU,ES,Spain,2017,,,,,,4694,WAT007 2000-2022
EU,ES,Spain,2018,,,,,,4498.1,WAT007 2000-2022
EU,ES,Spain,2019,,,,,,4512,WAT007 2000-2022
EU,ES,Spain,2020,,,,,,4599,WAT007 2000-2022
EU,ES,Spain,2021,,,,,,5440.8,WAT007 2000-2022
EU,ES,Spain,2022,,,,,,5444.7,WAT007 2000-2022
EU,ES,Spain,2023,,,,,,5516.6,EEA estimate based on ESTAT_demo_pjan
EU,ES,Spain,2000,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2001,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2002,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2003,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2004,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2005,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2006,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2007,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2008,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2009,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2010,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2011,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2012,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2013,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2014,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2015,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2016,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2017,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2018,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2019,,0,,,,,WAT007 2000-2022
EU,ES,Spain,2020,,0,,,,,WAT007 2000-2022

