Downloaded from: https://www.eea.europa.eu/en/analysis/indicators/water-abstraction-by-source-and/water-abstraction-by-economic-sector

Publisher ,European Environment Agency,EEA

Sources ,https://www.eea.europa.eu/en/datahub/datahubitem-view/a4324714-784a-4763-b8b9-b8939ead87fe?activeAccordion=1092906,European Environment Agency (EEA),"Waterbase - Water Quantity, 2023"
 ,https://ec.europa.eu/eurostat/databrowser/view/env_wat_abs/default/table?lang=en&category=env.env_wat.env_nwat,Eurostat - Statistical Office of the European Union (ESTAT),Annual freshwater abstraction by source and sector

Geographical coverage ,"Cyprus, Portugal, Spain, Malta, Denmark, Iceland, Switzerland, Sweden, Netherlands, Austria, Belgium, Germany, Luxembourg, Ireland, Türkiye, France, Liechtenstein, Slovakia, Czechia, Norway, Italy, Slovenia, Montenegro, Croatia, Bosnia and Herzegovina, Greece, Estonia, Latvia, Lithuania, Serbia, Finland, North Macedonia, Hungary, Bulgaria, Albania, Poland, Romania, Kosovo (UNSCR 1244/99)"

Temporal coverage ,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"

EIONET,countryCode,Country,phenomenonTimePeriod_year,Agriculture_Million m3,Construction_Million m3,Electricity cooling_Million m3,Manufacturing_Million m3,Mining and Quarrying_Million m3,Public water supply_Million m3,dataSource

EU,LV,Latvia,2000,58.8,,,,,,WAT007 2000-2022
EU,LV,Latvia,2001,56.5,,,,,,WAT007 2000-2022
EU,LV,Latvia,2002,62.8,,,,,,WAT007 2000-2022
EU,LV,Latvia,2003,61.6,,,,,,WAT007 2000-2022
EU,LV,Latvia,2004,50.8,,,,,,WAT007 2000-2022
EU,LV,Latvia,2005,60,,,,,,WAT007 2000-2022
EU,LV,Latvia,2006,59.1,,,,,,WAT007 2000-2022
EU,LV,Latvia,2007,59.2,,,,,,WAT007 2000-2022
EU,LV,Latvia,2008,46,,,,,,WAT007 2000-2022
EU,LV,Latvia,2009,54.3,,,,,,WAT007 2000-2022
EU,LV,Latvia,2010,41.1,,,,,,WAT007 2000-2022
EU,LV,Latvia,2011,29.1,,,,,,WAT007 2000-2022
EU,LV,Latvia,2012,47.7,,,,,,WAT007 2000-2022
EU,LV,Latvia,2013,43,,,,,,WAT007 2000-2022
EU,LV,Latvia,2014,44,,,,,,WAT007 2000-2022
EU,LV,Latvia,2015,55.3,,,,,,WAT007 2000-2022
EU,LV,Latvia,2016,63.2,,,,,,WAT007 2000-2022
EU,LV,Latvia,2017,59.5,,,,,,WAT007 2000-2022
EU,LV,Latvia,2018,58.9,,,,,,WAT007 2000-2022
EU,LV,Latvia,2019,60.3,,,,,,WAT007 2000-2022
EU,LV,Latvia,2020,60.5,,,,,,WAT007 2000-2022
EU,LV,Latvia,2021,59,,,,,,WAT007 2000-2022
EU,LV,Latvia,2022,59.6,,,,,,WAT007 2000-2022
EU,LV,Latvia,2023,56.1,,,,,,ESTAT env_wat_a
EU,LV,Latvia,2000,,,,,2.2,,WAT007 2000-2022
EU,LV,Latvia,2001,,,,,2.3,,WAT007 2000-2022
EU,LV,Latvia,2002,,,,,1.6,,WAT007 2000-2022
EU,LV,Latvia,2003,,,,,4.1,,WAT007 2000-2022
EU,LV,Latvia,2004,,,,,3.4,,WAT007 2000-2022
EU,LV,Latvia,2005,,,,,4.7,,WAT007 2000-2022
EU,LV,Latvia,2006,,,,,4.3,,WAT007 2000-2022
EU,LV,Latvia,2007,,,,,5.5,,WAT007 2000-2022
EU,LV,Latvia,2008,,,,,16.7,,WAT007 2000-2022
EU,LV,Latvia,2009,,,,,14.8,,WAT007 2000-2022
EU,LV,Latvia,2010,,,,,25.9,,WAT007 2000-2022
EU,LV,Latvia,2011,,,,,18.3,,WAT007 2000-2022
EU,LV,Latvia,2012,,,,,16.8,,WAT007 2000-2022
EU,LV,Latvia,2013,,,,,16.6,,WAT007 2000-2022
EU,LV,Latvia,2014,,,,,9.3,,WAT007 2000-2022
EU,LV,Latvia,2015,,,,,9.2,,WAT007 2000-2022
EU,LV,Latvia,2016,,,,,7.7,,WAT007 2000-2022
EU,LV,Latvia,2017,,,,,11.4,,WAT007 2000-2022
EU,LV,Latvia,2018,,,,,12.1,,WAT007 2000-2022
EU,LV,Latvia,2019,,,,,6.7,,WAT007 2000-2022
EU,LV,Latvia,2020,,,,,9.9,,WAT007 2000-2022
EU,LV,Latvia,2021,,,,,10.9,,WAT007 2000-2022
EU,LV,Latvia,2022,,,,,7.1,,WAT007 2000-2022
EU,LV,Latvia,2023,,,,,6.2,,ESTAT env_wat_a
EU,LV,Latvia,2000,,,,39.1,,,WAT007 2000-2022
EU,LV,Latvia,2001,,,,45,,,WAT007 2000-2022
EU,LV,Latvia,2002,,,,45.5,,,WAT007 2000-2022
EU,LV,Latvia,2003,,,,39.8,,,WAT007 2000-2022
EU,LV,Latvia,2004,,,,36,,,WAT007 2000-2022
EU,LV,Latvia,2005,,,,33.6,,,WAT007 2000-2022
EU,LV,Latvia,2006,,,,28.3,,,WAT007 2000-2022
EU,LV,Latvia,2007,,,,27.3,,,WAT007 2000-2022
EU,LV,Latvia,2008,,,,23.2,,,WAT007 2000-2022
EU,LV,Latvia,2009,,,,19.9,,,WAT007 2000-2022
EU,LV,Latvia,2010,,,,23.2,,,WAT007 2000-2022
EU,LV,Latvia,2011,,,,24.5,,,WAT007 2000-2022
EU,LV,Latvia,2012,,,,23.2,,,WAT007 2000-2022
EU,LV,Latvia,2013,,,,22.6,,,WAT007 2000-2022
EU,LV,Latvia,2014,,,,21.2,,,WAT007 2000-2022
EU,LV,Latvia,2015,,,,19.1,,,WAT007 2000-2022
EU,LV,Latvia,2016,,,,21.3,,,WAT007 2000-2022
EU,LV,Latvia,2017,,,,19.7,,,WAT007 2000-2022
EU,LV,Latvia,2018,,,,15.6,,,WAT007 2000-2022
EU,LV,Latvia,2019,,,,16.3,,,WAT007 2000-2022
EU,LV,Latvia,2020,,,,17.1,,,WAT007 2000-2022
EU,LV,Latvia,2021,,,,19,,,WAT007 2000-2022
EU,LV,Latvia,2022,,,,19.8,,,WAT007 2000-2022
EU,LV,Latvia,2023,,,,21.2,,,ESTAT env_wat_a
EU,LV,Latvia,2000,,,26,,,,WAT007 2000-2022
EU,LV,Latvia,2001,,,16,,,,WAT007 2000-2022
EU,LV,Latvia,2002,,,18.8,,,,WAT007 2000-2022
EU,LV,Latvia,2003,,,21.2,,,,WAT007 2000-2022
EU,LV,Latvia,2004,,,18.7,,,,WAT007 2000-2022
EU,LV,Latvia,2005,,,23.5,,,,WAT007 2000-2022
EU,LV,Latvia,2006,,,2.1,,,,WAT007 2000-2022
EU,LV,Latvia,2007,,,2.2,,,,WAT007 2000-2022
EU,LV,Latvia,2008,,,2.6,,,,WAT007 2000-2022
EU,LV,Latvia,2009,,,2.5,,,,WAT007 2000-2022
EU,LV,Latvia,2010,,,2.4,,,,WAT007 2000-2022
EU,LV,Latvia,2011,,,2.2,,,,WAT007 2000-2022
EU,LV,Latvia,2012,,,2.2,,,,WAT007 2000-2022
EU,LV,Latvia,2013,,,3.4,,,,WAT007 2000-2022
EU,LV,Latvia,2014,,,2.7,,,,WAT007 2000-2022
EU,LV,Latvia,2015,,,3.3,,,,WAT007 2000-2022
EU,LV,Latvia,2016,,,2.6,,,,WAT007 2000-2022
EU,LV,Latvia,2017,,,1.6,,,,WAT007 2000-2022
EU,LV,Latvia,2018,,,2.5,,,,WAT007 2000-2022
EU,LV,Latvia,2019,,,3,,,,WAT007 2000-2022
EU,LV,Latvia,2020,,,2.2,,,,WAT007 2000-2022
EU,LV,Latvia,2021,,,2.6,,,,WAT007 2000-2022
EU,LV,Latvia,2022,,,2,,,,WAT007 2000-2022
EU,LV,Latvia,2023,,,2.4,,,,ESTAT env_wat_a
EU,LV,Latvia,2000,,,,,,148.4,WAT007 2000-2022
EU,LV,Latvia,2001,,,,,,136.7,WAT007 2000-2022
EU,LV,Latvia,2002,,,,,,129.6,WAT007 2000-2022
EU,LV,Latvia,2003,,,,,,130.7,WAT007 2000-2022
EU,LV,Latvia,2004,,,,,,124.1,WAT007 2000-2022
EU,LV,Latvia,2005,,,,,,122.3,WAT007 2000-2022
EU,LV,Latvia,2006,,,,,,119.4,WAT007 2000-2022
EU,LV,Latvia,2007,,,,,,118.9,WAT007 2000-2022
EU,LV,Latvia,2008,,,,,,111.2,WAT007 2000-2022
EU,LV,Latvia,2009,,,,,,98.2,WAT007 2000-2022
EU,LV,Latvia,2010,,,,,,97.2,WAT007 2000-2022
EU,LV,Latvia,2011,,,,,,98.5,WAT007 2000-2022
EU,LV,Latvia,2012,,,,,,93.8,WAT007 2000-2022
EU,LV,Latvia,2013,,,,,,91,WAT007 2000-2022
EU,LV,Latvia,2014,,,,,,88.3,WAT007 2000-2022
EU,LV,Latvia,2015,,,,,,86.5,WAT007 2000-2022
EU,LV,Latvia,2016,,,,,,88.1,WAT007 2000-2022
EU,LV,Latvia,2017,,,,,,86.1,WAT007 2000-2022
EU,LV,Latvia,2018,,,,,,90.8,WAT007 2000-2022
EU,LV,Latvia,2019,,,,,,88.9,WAT007 2000-2022
EU,LV,Latvia,2020,,,,,,88.5,WAT007 2000-2022
EU,LV,Latvia,2021,,,,,,90.1,WAT007 2000-2022
EU,LV,Latvia,2022,,,,,,91.7,WAT007 2000-2022
EU,LV,Latvia,2023,,,,,,89.9,ESTAT env_wat_a
EU,LV,Latvia,2000,,1.8,,,,,WAT007 2000-2022
EU,LV,Latvia,2001,,1.2,,,,,WAT007 2000-2022
EU,LV,Latvia,2002,,0.9,,,,,WAT007 2000-2022
EU,LV,Latvia,2003,,0.9,,,,,WAT007 2000-2022
EU,LV,Latvia,2004,,0.8,,,,,WAT007 2000-2022
EU,LV,Latvia,2005,,1.3,,,,,WAT007 2000-2022
EU,LV,Latvia,2006,,1.2,,,,,WAT007 2000-2022
EU,LV,Latvia,2007,,0.9,,,,,WAT007 2000-2022
EU,LV,Latvia,2008,,1.4,,,,,WAT007 2000-2022
EU,LV,Latvia,2009,,1.4,,,,,WAT007 2000-2022
EU,LV,Latvia,2010,,0.7,,,,,WAT007 2000-2022
EU,LV,Latvia,2011,,0.7,,,,,WAT007 2000-2022
EU,LV,Latvia,2012,,0.7,,,,,WAT007 2000-2022
EU,LV,Latvia,2013,,0.9,,,,,WAT007 2000-2022
EU,LV,Latvia,2014,,0.8,,,,,WAT007 2000-2022
EU,LV,Latvia,2015,,1.3,,,,,WAT007 2000-2022
EU,LV,Latvia,2016,,0.5,,,,,WAT007 2000-2022
